,platform,read_queries,write_queries,other_queries,total_queries,transactions,latency_min,latency_max,latency_avg,time_total
0,gvisor,70850,0,14170,85020,7085,18.24,54.89,28.24,20.0291
1,gvisor,72380,0,14476,86856,7238,29.81,98.33,55.33,20.0598
2,gvisor,72820,0,14564,87384,7282,40.75,142.28,82.55,20.1032
3,gvisor,72700,0,14540,87240,7270,49.7,186.56,110.28,20.1326
4,gvisor,72310,0,14462,86772,7231,64.81,248.02,138.8,20.2162
5,gvisor,71440,0,14288,85728,7144,80.91,312.73,168.46,20.2271
6,gvisor,71040,0,14208,85248,7104,89.26,350.93,197.83,20.2761
7,gvisor,70000,0,14000,84000,7000,18.26,52.06,28.59,20.0263
8,gvisor,71600,0,14320,85920,7160,29.58,96.58,55.91,20.0529
9,gvisor,70960,0,14192,85152,7096,45.33,150.64,84.72,20.1019
10,gvisor,71940,0,14388,86328,7194,52.62,184.3,111.45,20.1389
11,gvisor,71070,0,14214,85284,7107,59.92,242.85,141.11,20.1903
12,gvisor,71620,0,14324,85944,7162,78.38,270.36,168.08,20.2303
13,gvisor,71150,0,14230,85380,7115,61.14,314.8,197.45,20.2719
14,gvisor,69710,0,13942,83652,6971,17.29,54.9,28.7,20.0234
15,gvisor,71330,0,14266,85596,7133,26.14,102.48,56.14,20.0593
16,gvisor,71260,0,14252,85512,7126,42.18,144.98,84.32,20.0945
17,gvisor,71690,0,14338,86028,7169,52.66,181.68,111.82,20.142
18,gvisor,71590,0,14318,85908,7159,67.31,248.72,140.11,20.1974
19,gvisor,70930,0,14186,85116,7093,74.77,299.49,169.75,20.2304
20,gvisor,70690,0,14138,84828,7069,88.53,343.14,198.81,20.2879
21,gvisor,69880,0,13976,83856,6988,18.16,53.98,28.63,20.0237
22,gvisor,71050,0,14210,85260,7105,29.95,105.53,56.35,20.053
23,gvisor,71080,0,14216,85296,7108,40.38,137.86,84.63,20.1195
24,gvisor,71320,0,14264,85584,7132,58.97,199.13,112.44,20.143
25,gvisor,71150,0,14230,85380,7115,59.05,249.24,140.96,20.1896
26,gvisor,70850,0,14170,85020,7085,80.01,301.08,170.01,20.2427
27,gvisor,70840,0,14168,85008,7084,86.72,339.64,198.42,20.2778
28,gvisor,70200,0,14040,84240,7020,18.15,59.27,28.51,20.0279
29,gvisor,70940,0,14188,85128,7094,26.33,95.45,56.44,20.052
30,gvisor,71590,0,14318,85908,7159,43.87,145.21,83.98,20.1071
31,gvisor,71770,0,14354,86124,7177,56.48,179.51,111.69,20.1376
32,gvisor,71070,0,14214,85284,7107,58.4,232.49,141.06,20.1904
33,gvisor,70820,0,14164,84984,7082,67.58,297.99,170.0,20.2378
34,gvisor,70570,0,14114,84684,7057,88.42,340.18,199.11,20.2741
35,gvisor,69840,0,13968,83808,6984,18.87,56.42,28.65,20.0257
36,gvisor,71800,0,14360,86160,7180,28.06,98.37,55.76,20.0537
37,gvisor,71300,0,14260,85560,7130,44.96,151.39,84.3,20.1001
38,gvisor,71230,0,14246,85476,7123,52.78,189.54,112.53,20.1429
39,gvisor,70720,0,14144,84864,7072,70.97,239.54,141.84,20.1983
40,gvisor,70560,0,14112,84672,7056,74.05,274.79,170.55,20.2267
41,gvisor,70670,0,14134,84804,7067,85.01,326.25,198.76,20.2685
42,gvisor,69350,0,13870,83220,6935,16.78,51.99,28.87,20.0326
43,gvisor,71520,0,14304,85824,7152,30.98,95.12,55.99,20.0518
44,gvisor,71120,0,14224,85344,7112,37.35,138.38,84.49,20.0955
45,gvisor,70400,0,14080,84480,7040,55.79,184.88,113.97,20.1554
46,gvisor,70930,0,14186,85116,7093,52.79,230.67,141.37,20.1924
47,gvisor,70820,0,14164,84984,7082,75.92,287.55,170.06,20.2536
48,gvisor,70570,0,14114,84684,7057,68.83,324.33,199.05,20.2723
49,gvisor,69300,0,13860,83160,6930,17.84,54.03,28.88,20.0286
50,gvisor,71000,0,14200,85200,7100,28.19,97.65,56.41,20.0568
51,gvisor,70860,0,14172,85032,7086,36.73,150.61,84.79,20.0908
52,gvisor,70550,0,14110,84660,7055,59.56,196.24,113.65,20.1367
53,gvisor,70840,0,14168,85008,7084,64.93,240.24,141.63,20.1977
54,gvisor,70760,0,14152,84912,7076,76.71,296.63,170.23,20.2479
55,gvisor,70810,0,14162,84972,7081,74.73,337.88,198.52,20.2755
56,gvisor,69360,0,13872,83232,6936,18.51,56.76,28.85,20.0235
57,gvisor,70660,0,14132,84792,7066,31.19,96.2,56.67,20.0537
58,gvisor,71240,0,14248,85488,7124,44.31,138.43,84.34,20.1012
59,gvisor,70460,0,14092,84552,7046,57.5,191.03,113.78,20.1411
60,gvisor,70480,0,14096,84576,7048,66.91,235.71,142.33,20.1957
61,gvisor,70940,0,14188,85128,7094,80.11,288.77,169.69,20.2285
62,gvisor,70930,0,14186,85116,7093,69.41,318.4,198.29,20.2904
63,gvisor,69860,0,13972,83832,6986,17.9,51.91,28.64,20.0221
64,gvisor,70810,0,14162,84972,7081,28.63,104.79,56.54,20.0539
65,gvisor,71420,0,14284,85704,7142,39.84,144.22,84.12,20.0874
66,gvisor,70890,0,14178,85068,7089,60.08,186.47,113.13,20.1434
67,gvisor,70840,0,14168,85008,7084,65.34,229.96,141.52,20.1752
68,gvisor,70520,0,14104,84624,7052,72.89,283.33,170.73,20.233
69,gvisor,70250,0,14050,84300,7025,56.23,337.8,200.16,20.291
70,gvisor,18150,7260,3630,29040,1815,48.39,291.45,110.28,20.0433
71,gvisor,17180,6872,3436,27488,1718,53.13,909.95,235.39,20.3933
72,gvisor,10840,4336,2168,17344,1084,44.75,2417.86,565.18,20.6807
73,gvisor,10610,4244,2122,16976,1061,54.02,2717.87,770.35,20.7387
74,gvisor,10930,4372,2186,17488,1093,38.81,6153.27,929.03,20.5645
75,gvisor,11500,4539,2361,18400,1150,46.92,5670.39,1063.26,20.8131
76,gvisor,10520,4208,2104,16832,1052,45.58,7477.59,1366.64,20.8783
77,gvisor,7450,2980,1490,11920,745,69.38,904.59,269.75,20.1564
78,gvisor,11380,4552,2276,18208,1138,38.52,1413.78,353.89,20.3009
79,gvisor,12160,4864,2432,19456,1216,33.61,1956.63,501.85,20.6295
80,gvisor,11560,4624,2312,18496,1156,44.82,3569.16,700.99,20.577
81,gvisor,11130,4452,2226,17808,1113,43.03,3457.76,925.49,20.8794
82,gvisor,11510,4604,2302,18416,1151,43.24,4963.46,1067.48,20.8538
83,gvisor,11000,4400,2200,17600,1100,45.57,6744.48,1303.12,20.8575
84,gvisor,7990,3196,1598,12784,799,49.66,886.01,251.34,20.1199
85,gvisor,12040,4816,2408,19264,1204,48.79,1151.02,336.52,20.4607
86,gvisor,12560,5024,2512,20096,1256,38.4,1748.37,483.93,20.4771
87,gvisor,12700,5080,2540,20320,1270,45.04,2636.68,644.32,20.8236
88,gvisor,11050,4420,2210,17680,1105,48.91,3499.09,927.62,20.8815
